genus,code,year,month,web_ID,abundance
Agapostemon,HAAGAXXX,2020,5,C1S,4
Agapostemon,HAAGAXXX,2020,5,C2N,10
Agapostemon,HAAGAXXX,2020,5,C2S,4
Agapostemon,HAAGAXXX,2020,5,C4N,2
Agapostemon,HAAGAXXX,2020,5,C5N,1
Agapostemon,HAAGAXXX,2020,5,G1N,16
Agapostemon,HAAGAXXX,2020,5,G1S,56
Agapostemon,HAAGAXXX,2020,5,G2N,17
Agapostemon,HAAGAXXX,2020,5,G2S,49
Agapostemon,HAAGAXXX,2020,5,G3N,20
Agapostemon,HAAGAXXX,2020,5,G3S,31
Agapostemon,HAAGAXXX,2020,5,G4N,21
Agapostemon,HAAGAXXX,2020,5,G4S,26
Agapostemon,HAAGAXXX,2020,5,G5N,16
Agapostemon,HAAGAXXX,2020,5,G5S,38
Agapostemon,HAAGAXXX,2020,6,B1N,10
Agapostemon,HAAGAXXX,2020,6,B1S,19
Agapostemon,HAAGAXXX,2020,6,B2N,30
Agapostemon,HAAGAXXX,2020,6,B2S,9
Agapostemon,HAAGAXXX,2020,6,B3N,12
Agapostemon,HAAGAXXX,2020,6,B3S,5
Agapostemon,HAAGAXXX,2020,6,B4N,34
Agapostemon,HAAGAXXX,2020,6,B4S,5
Agapostemon,HAAGAXXX,2020,6,B5N,15
Agapostemon,HAAGAXXX,2020,6,B5S,5
Agapostemon,HAAGAXXX,2020,6,C1N,5
Agapostemon,HAAGAXXX,2020,6,C1S,5
Agapostemon,HAAGAXXX,2020,6,C2N,2
Agapostemon,HAAGAXXX,2020,6,C2S,4
Agapostemon,HAAGAXXX,2020,6,C3N,3
Agapostemon,HAAGAXXX,2020,6,C3S,2
Agapostemon,HAAGAXXX,2020,6,C4N,4
Agapostemon,HAAGAXXX,2020,6,C4S,5
Agapostemon,HAAGAXXX,2020,6,C5N,6
Agapostemon,HAAGAXXX,2020,6,C5S,1
Agapostemon,HAAGAXXX,2020,6,G1N,15
Agapostemon,HAAGAXXX,2020,6,G1S,7
Agapostemon,HAAGAXXX,2020,6,G2N,11
Agapostemon,HAAGAXXX,2020,6,G2S,44
Agapostemon,HAAGAXXX,2020,6,G3N,3
Agapostemon,HAAGAXXX,2020,6,G3S,6
Agapostemon,HAAGAXXX,2020,6,G4N,21
Agapostemon,HAAGAXXX,2020,6,G4S,9
Agapostemon,HAAGAXXX,2020,6,G5N,17
Agapostemon,HAAGAXXX,2020,6,G5S,4
Agapostemon,HAAGAXXX,2020,7,B1N,13
Agapostemon,HAAGAXXX,2020,7,B1S,5
Agapostemon,HAAGAXXX,2020,7,B2N,8
Agapostemon,HAAGAXXX,2020,7,B2S,5
Agapostemon,HAAGAXXX,2020,7,B3N,1
Agapostemon,HAAGAXXX,2020,7,B3S,4
Agapostemon,HAAGAXXX,2020,7,B4N,30
Agapostemon,HAAGAXXX,2020,7,B4S,5
Agapostemon,HAAGAXXX,2020,7,B5N,11
Agapostemon,HAAGAXXX,2020,7,B5S,3
Agapostemon,HAAGAXXX,2020,7,C1N,2
Agapostemon,HAAGAXXX,2020,7,C1S,9
Agapostemon,HAAGAXXX,2020,7,C2S,1
Agapostemon,HAAGAXXX,2020,7,C3N,5
Agapostemon,HAAGAXXX,2020,7,C3S,3
Agapostemon,HAAGAXXX,2020,7,C4N,1
Agapostemon,HAAGAXXX,2020,7,C4S,6
Agapostemon,HAAGAXXX,2020,7,C5N,6
Agapostemon,HAAGAXXX,2020,7,C5S,6
Agapostemon,HAAGAXXX,2020,7,G1N,27
Agapostemon,HAAGAXXX,2020,7,G1S,6
Agapostemon,HAAGAXXX,2020,7,G2N,8
Agapostemon,HAAGAXXX,2020,7,G2S,26
Agapostemon,HAAGAXXX,2020,7,G3N,23
Agapostemon,HAAGAXXX,2020,7,G3S,20
Agapostemon,HAAGAXXX,2020,7,G4N,13
Agapostemon,HAAGAXXX,2020,7,G4S,4
Agapostemon,HAAGAXXX,2020,7,G5N,12
Agapostemon,HAAGAXXX,2020,7,G5S,15
Agapostemon,HAAGAXXX,2020,8,B1N,5
Agapostemon,HAAGAXXX,2020,8,B1S,2
Agapostemon,HAAGAXXX,2020,8,B2N,10
Agapostemon,HAAGAXXX,2020,8,B3N,4
Agapostemon,HAAGAXXX,2020,8,B3S,11
Agapostemon,HAAGAXXX,2020,8,B4N,12
Agapostemon,HAAGAXXX,2020,8,B4S,3
Agapostemon,HAAGAXXX,2020,8,B5N,1
Agapostemon,HAAGAXXX,2020,8,B5S,1
Agapostemon,HAAGAXXX,2020,8,C1N,2
Agapostemon,HAAGAXXX,2020,8,C1S,4
Agapostemon,HAAGAXXX,2020,8,C2N,1
Agapostemon,HAAGAXXX,2020,8,C2S,4
Agapostemon,HAAGAXXX,2020,8,G1N,27
Agapostemon,HAAGAXXX,2020,8,G1S,7
Agapostemon,HAAGAXXX,2020,8,G2N,2
Agapostemon,HAAGAXXX,2020,8,G2S,35
Agapostemon,HAAGAXXX,2020,8,G3N,21
Agapostemon,HAAGAXXX,2020,8,G3S,11
Agapostemon,HAAGAXXX,2020,8,G4N,37
Agapostemon,HAAGAXXX,2020,8,G4S,5
Agapostemon,HAAGAXXX,2020,8,G5N,53
Agapostemon,HAAGAXXX,2020,8,G5S,7
Agapostemon,HAAGAXXX,2020,9,B1N,1
Agapostemon,HAAGAXXX,2020,9,B1S,1
Agapostemon,HAAGAXXX,2020,9,B2S,5
Agapostemon,HAAGAXXX,2020,9,B3N,2
Agapostemon,HAAGAXXX,2020,9,B3S,3
Agapostemon,HAAGAXXX,2020,9,B4N,2
Agapostemon,HAAGAXXX,2020,9,B5N,1
Agapostemon,HAAGAXXX,2020,9,B5S,8
Agapostemon,HAAGAXXX,2020,9,C4S,1
Agapostemon,HAAGAXXX,2020,9,C5S,2
Agapostemon,HAAGAXXX,2020,9,G1N,1
Agapostemon,HAAGAXXX,2020,9,G1S,1
Agapostemon,HAAGAXXX,2020,9,G2S,5
Agapostemon,HAAGAXXX,2020,9,G4S,1
Agapostemon,HAAGAXXX,2020,9,G5N,1
Agapostemon,HAAGAXXX,2020,10,B1N,1
Agapostemon,HAAGAXXX,2020,10,B1S,1
Agapostemon,HAAGAXXX,2020,10,B2S,1
Agapostemon,HAAGAXXX,2020,10,C1S,2
Agapostemon,HAAGAXXX,2020,10,C5N,1
Agapostemon,HAAGAXXX,2020,10,G1N,1
Agapostemon,HAAGAXXX,2021,3,B1N,4
Agapostemon,HAAGAXXX,2021,3,B1S,3
Agapostemon,HAAGAXXX,2021,3,B2S,1
Agapostemon,HAAGAXXX,2021,3,B3N,1
Agapostemon,HAAGAXXX,2021,3,B4N,1
Agapostemon,HAAGAXXX,2021,3,B4S,5
Agapostemon,HAAGAXXX,2021,3,B5S,3
Agapostemon,HAAGAXXX,2021,3,C1S,2
Agapostemon,HAAGAXXX,2021,3,C5N,1
Agapostemon,HAAGAXXX,2021,3,C5S,3
Agapostemon,HAAGAXXX,2021,3,G1N,1
Agapostemon,HAAGAXXX,2021,3,G4N,1
Agapostemon,HAAGAXXX,2021,3,G4S,1
Agapostemon,HAAGAXXX,2021,3,G5N,2
Agapostemon,HAAGAXXX,2021,4,B1N,2
Agapostemon,HAAGAXXX,2021,4,B1S,1
Agapostemon,HAAGAXXX,2021,4,B2S,5
Agapostemon,HAAGAXXX,2021,4,B3N,2
Agapostemon,HAAGAXXX,2021,4,B3S,3
Agapostemon,HAAGAXXX,2021,4,B5S,1
Agapostemon,HAAGAXXX,2021,4,C1N,1
Agapostemon,HAAGAXXX,2021,4,C2N,1
Agapostemon,HAAGAXXX,2021,4,C3N,1
Agapostemon,HAAGAXXX,2021,4,C3S,1
Agapostemon,HAAGAXXX,2021,4,G3N,2
Agapostemon,HAAGAXXX,2021,4,G4N,1
Agapostemon,HAAGAXXX,2021,5,C1S,1
Agapostemon,HAAGAXXX,2021,6,B1N,1
Agapostemon,HAAGAXXX,2021,6,B2S,2
Agapostemon,HAAGAXXX,2021,6,B3N,3
Agapostemon,HAAGAXXX,2021,6,B3S,1
Agapostemon,HAAGAXXX,2021,6,B4N,3
Agapostemon,HAAGAXXX,2021,6,B4S,8
Agapostemon,HAAGAXXX,2021,6,B5S,2
Agapostemon,HAAGAXXX,2021,6,C3N,1
Agapostemon,HAAGAXXX,2021,6,C3S,1
Agapostemon,HAAGAXXX,2021,6,G2S,1
Agapostemon,HAAGAXXX,2021,6,G5S,4
Agapostemon,HAAGAXXX,2021,7,B1N,19
Agapostemon,HAAGAXXX,2021,7,B1S,9
Agapostemon,HAAGAXXX,2021,7,B2N,20
Agapostemon,HAAGAXXX,2021,7,B2S,10
Agapostemon,HAAGAXXX,2021,7,B3N,11
Agapostemon,HAAGAXXX,2021,7,B3S,18
Agapostemon,HAAGAXXX,2021,7,B4S,15
Agapostemon,HAAGAXXX,2021,7,B5N,11
Agapostemon,HAAGAXXX,2021,7,B5S,21
Agapostemon,HAAGAXXX,2021,7,C1N,2
Agapostemon,HAAGAXXX,2021,7,C2N,4
Agapostemon,HAAGAXXX,2021,7,C3S,1
Agapostemon,HAAGAXXX,2021,7,C5N,2
Agapostemon,HAAGAXXX,2021,7,G1N,8
Agapostemon,HAAGAXXX,2021,7,G1S,9
Agapostemon,HAAGAXXX,2021,7,G2N,7
Agapostemon,HAAGAXXX,2021,7,G2S,5
Agapostemon,HAAGAXXX,2021,7,G3N,5
Agapostemon,HAAGAXXX,2021,7,G3S,4
Agapostemon,HAAGAXXX,2021,7,G4N,7
Agapostemon,HAAGAXXX,2021,7,G4S,6
Agapostemon,HAAGAXXX,2021,7,G5N,5
Agapostemon,HAAGAXXX,2021,7,G5S,3
Agapostemon,HAAGAXXX,2021,8,B2N,3
Agapostemon,HAAGAXXX,2021,8,B3N,3
Agapostemon,HAAGAXXX,2021,8,B3S,2
Agapostemon,HAAGAXXX,2021,8,B5N,5
Agapostemon,HAAGAXXX,2021,8,B5S,4
Agapostemon,HAAGAXXX,2021,8,C1S,1
Agapostemon,HAAGAXXX,2021,8,C2N,1
Agapostemon,HAAGAXXX,2021,8,C2S,1
Agapostemon,HAAGAXXX,2021,8,G1N,1
Agapostemon,HAAGAXXX,2021,8,G1S,1
Agapostemon,HAAGAXXX,2021,8,G2N,2
Agapostemon,HAAGAXXX,2021,8,G5N,1
Agapostemon,HAAGAXXX,2021,8,G5S,1
Agapostemon,HAAGAXXX,2021,9,B2S,1
Agapostemon,HAAGAXXX,2021,9,B4S,1
Agapostemon,HAAGAXXX,2021,9,B5S,2
Agapostemon,HAAGAXXX,2021,9,C1N,1
Agapostemon,HAAGAXXX,2021,9,C2N,1
Agapostemon,HAAGAXXX,2021,9,G2N,1
Agapostemon,HAAGAXXX,2021,9,G3S,1
Agapostemon,HAAGAXXX,2021,10,B1N,5
Agapostemon,HAAGAXXX,2021,10,B1S,1
Agapostemon,HAAGAXXX,2021,10,B2N,4
Agapostemon,HAAGAXXX,2021,10,B2S,3
Agapostemon,HAAGAXXX,2021,10,B3N,4
Agapostemon,HAAGAXXX,2021,10,B3S,4
Agapostemon,HAAGAXXX,2021,10,B4N,1
Agapostemon,HAAGAXXX,2021,10,B4S,5
Agapostemon,HAAGAXXX,2021,10,B5N,2
Agapostemon,HAAGAXXX,2021,10,B5S,17
Agapostemon,HAAGAXXX,2021,10,G1S,1
Agapostemon,HAAGAXXX,2021,10,G3N,1
Agapostemon,HAAGAXXX,2021,10,G3S,1
Agapostemon,HAAGAXXX,2021,10,G4N,3
Agapostemon,HAAGAXXX,2021,10,G4S,3
Agapostemon,HAAGAXXX,2021,10,G5S,1
Andrena,ANANDXXX,2020,4,G2S,1
Andrena,ANANDXXX,2021,3,B1N,3
Anthidium,MEANTXXX,2020,4,B2S,3
Anthidium,MEANTXXX,2020,4,B4S,2
Anthidium,MEANTXXX,2020,4,B5S,5
Anthidium,MEANTXXX,2020,4,C2N,1
Anthidium,MEANTXXX,2020,4,C3S,1
Anthidium,MEANTXXX,2020,4,C5N,2
Anthidium,MEANTXXX,2020,4,G2N,1
Anthidium,MEANTXXX,2020,4,G2S,1
Anthidium,MEANTXXX,2020,4,G4S,1
Anthidium,MEANTXXX,2020,5,G5N,1
Anthidium,MEANTXXX,2020,6,B1N,3
Anthidium,MEANTXXX,2020,7,B5N,1
Anthidium,MEANTXXX,2021,3,G1S,1
Anthidium,MEANTXXX,2021,7,G5S,1
Anthidium,MEANTXXX,2021,8,B3N,1
Anthidium,MEANTXXX,2021,9,B5S,1
Anthophora,APANTXXX,2020,3,B1S,1
Anthophora,APANTXXX,2020,3,B2S,6
Anthophora,APANTXXX,2020,3,B3N,3
Anthophora,APANTXXX,2020,3,B5S,3
Anthophora,APANTXXX,2020,3,C3S,1
Anthophora,APANTXXX,2020,3,C4N,1
Anthophora,APANTXXX,2020,3,C5N,1
Anthophora,APANTXXX,2020,3,G2N,1
Anthophora,APANTXXX,2020,3,G3S,1
Anthophora,APANTXXX,2020,4,B1N,1
Anthophora,APANTXXX,2020,4,B1S,4
Anthophora,APANTXXX,2020,4,B2N,1
Anthophora,APANTXXX,2020,4,B2S,22
Anthophora,APANTXXX,2020,4,B3N,3
Anthophora,APANTXXX,2020,4,B3S,1
Anthophora,APANTXXX,2020,4,B4S,21
Anthophora,APANTXXX,2020,4,B5N,2
Anthophora,APANTXXX,2020,4,B5S,29
Anthophora,APANTXXX,2020,4,C1N,2
Anthophora,APANTXXX,2020,4,C1S,2
Anthophora,APANTXXX,2020,4,C2N,10
Anthophora,APANTXXX,2020,4,C2S,1
Anthophora,APANTXXX,2020,4,C3S,9
Anthophora,APANTXXX,2020,4,C4N,7
Anthophora,APANTXXX,2020,4,C5N,3
Anthophora,APANTXXX,2020,4,C5S,2
Anthophora,APANTXXX,2020,4,G1S,6
Anthophora,APANTXXX,2020,4,G2N,2
Anthophora,APANTXXX,2020,4,G2S,2
Anthophora,APANTXXX,2020,4,G3N,1
Anthophora,APANTXXX,2020,4,G3S,6
Anthophora,APANTXXX,2020,4,G4S,7
Anthophora,APANTXXX,2020,5,B1N,2
Anthophora,APANTXXX,2020,5,B1S,1
Anthophora,APANTXXX,2020,5,B2S,3
Anthophora,APANTXXX,2020,5,B3N,3
Anthophora,APANTXXX,2020,5,B4S,6
Anthophora,APANTXXX,2020,5,B5N,1
Anthophora,APANTXXX,2020,5,B5S,4
Anthophora,APANTXXX,2020,5,C1N,3
Anthophora,APANTXXX,2020,5,C2N,10
Anthophora,APANTXXX,2020,5,C3S,4
Anthophora,APANTXXX,2020,5,C4N,4
Anthophora,APANTXXX,2020,5,C4S,4
Anthophora,APANTXXX,2020,5,C5N,4
Anthophora,APANTXXX,2020,5,G1N,1
Anthophora,APANTXXX,2020,5,G2N,3
Anthophora,APANTXXX,2020,5,G2S,2
Anthophora,APANTXXX,2020,5,G3N,2
Anthophora,APANTXXX,2020,5,G3S,9
Anthophora,APANTXXX,2020,6,B1S,3
Anthophora,APANTXXX,2020,6,B2N,1
Anthophora,APANTXXX,2020,6,B3S,1
Anthophora,APANTXXX,2020,6,B4N,2
Anthophora,APANTXXX,2020,6,B4S,5
Anthophora,APANTXXX,2020,6,B5S,3
Anthophora,APANTXXX,2020,6,C1N,1
Anthophora,APANTXXX,2020,6,C1S,1
Anthophora,APANTXXX,2020,6,C2N,2
Anthophora,APANTXXX,2020,6,C2S,2
Anthophora,APANTXXX,2020,6,C3S,5
Anthophora,APANTXXX,2020,6,C4N,1
Anthophora,APANTXXX,2020,6,C5N,4
Anthophora,APANTXXX,2020,6,G1N,1
Anthophora,APANTXXX,2020,6,G1S,1
Anthophora,APANTXXX,2020,6,G2N,3
Anthophora,APANTXXX,2020,6,G2S,1
Anthophora,APANTXXX,2020,6,G3N,1
Anthophora,APANTXXX,2020,6,G4S,1
Anthophora,APANTXXX,2020,6,G5S,4
Anthophora,APANTXXX,2020,7,B1S,1
Anthophora,APANTXXX,2020,7,B4S,2
Anthophora,APANTXXX,2020,7,B5S,1
Anthophora,APANTXXX,2020,7,G3S,2
Anthophora,APANTXXX,2020,7,G4S,2
Anthophora,APANTXXX,2020,8,B1N,1
Anthophora,APANTXXX,2020,8,B1S,2
Anthophora,APANTXXX,2020,8,B2S,2
Anthophora,APANTXXX,2020,8,B4S,1
Anthophora,APANTXXX,2020,8,G1S,2
Anthophora,APANTXXX,2020,8,G5N,1
Anthophora,APANTXXX,2020,8,G5S,2
Anthophora,APANTXXX,2020,9,B1S,2
Anthophora,APANTXXX,2020,9,B4S,2
Anthophora,APANTXXX,2020,9,B5N,1
Anthophora,APANTXXX,2021,3,B1S,2
Anthophora,APANTXXX,2021,3,B2S,1
Anthophora,APANTXXX,2021,3,B4S,3
Anthophora,APANTXXX,2021,3,B5S,2
Anthophora,APANTXXX,2021,3,C1N,2
Anthophora,APANTXXX,2021,3,C3S,2
Anthophora,APANTXXX,2021,3,C5N,1
Anthophora,APANTXXX,2021,4,B1N,1
Anthophora,APANTXXX,2021,4,B2S,5
Anthophora,APANTXXX,2021,4,B3N,1
Anthophora,APANTXXX,2021,4,B3S,1
Anthophora,APANTXXX,2021,4,B4S,3
Anthophora,APANTXXX,2021,4,C1N,1
Anthophora,APANTXXX,2021,4,C3S,2
Anthophora,APANTXXX,2021,4,C5S,1
Anthophora,APANTXXX,2021,4,G1S,1
Anthophora,APANTXXX,2021,4,G3N,1
Anthophora,APANTXXX,2021,4,G3S,1
Anthophora,APANTXXX,2021,4,G5S,6
Anthophora,APANTXXX,2021,5,B2S,3
Anthophora,APANTXXX,2021,5,C1N,1
Anthophora,APANTXXX,2021,7,B1S,2
Anthophora,APANTXXX,2021,7,B3N,2
Anthophora,APANTXXX,2021,8,B1S,1
Anthophora,APANTXXX,2021,8,B3N,1
Anthophora,APANTXXX,2021,8,B5N,2
Anthophora,APANTXXX,2021,8,G4S,1
Anthophora,APANTXXX,2021,9,B5S,2
Anthophora,APANTXXX,2021,9,C1N,2
Anthophora,APANTXXX,2021,9,C2N,1
Anthophora,APANTXXX,2021,9,C2S,1
Anthophora,APANTXXX,2021,9,C3S,1
Anthophora,APANTXXX,2021,9,G2N,3
Anthophorula,APANPXXX,2020,6,B4S,2
Anthophorula,APANPXXX,2020,7,B1N,1
Anthophorula,APANPXXX,2020,7,B4S,2
Anthophorula,APANPXXX,2020,7,C4N,2
Anthophorula,APANPXXX,2020,7,G3S,1
Anthophorula,APANPXXX,2020,9,C2S,1
Anthophorula,APANPXXX,2020,9,G2S,1
Anthophorula,APANPXXX,2020,10,B5S,1
Anthophorula,APANPXXX,2020,10,G1N,1
Anthophorula,APANPXXX,2021,8,G1S,2
Anthophorula,APANPXXX,2021,9,G2N,1
Anthophorula,APANPXXX,2021,9,G5S,1
Apis,APAPIXXX,2020,9,B5S,1
Apis,APAPIXXX,2021,6,C4S,1
Ashmeadiella,MEASHXXX,2020,5,B5N,1
Ashmeadiella,MEASHXXX,2020,5,C5N,1
Ashmeadiella,MEASHXXX,2020,5,G5N,1
Ashmeadiella,MEASHXXX,2020,5,G5S,1
Ashmeadiella,MEASHXXX,2020,6,B1S,1
Ashmeadiella,MEASHXXX,2020,6,B4S,1
Ashmeadiella,MEASHXXX,2020,6,C2N,1
Ashmeadiella,MEASHXXX,2020,6,C2S,1
Ashmeadiella,MEASHXXX,2020,6,C3S,1
Ashmeadiella,MEASHXXX,2020,6,C5N,1
Ashmeadiella,MEASHXXX,2020,6,G1N,10
Ashmeadiella,MEASHXXX,2020,6,G1S,1
Ashmeadiella,MEASHXXX,2020,6,G2N,2
Ashmeadiella,MEASHXXX,2020,6,G2S,2
Ashmeadiella,MEASHXXX,2020,6,G3S,4
Ashmeadiella,MEASHXXX,2020,6,G4N,3
Ashmeadiella,MEASHXXX,2020,6,G4S,1
Ashmeadiella,MEASHXXX,2020,6,G5N,2
Ashmeadiella,MEASHXXX,2020,6,G5S,2
Ashmeadiella,MEASHXXX,2020,7,B2S,1
Ashmeadiella,MEASHXXX,2020,7,B3N,1
Ashmeadiella,MEASHXXX,2020,7,C3S,1
Ashmeadiella,MEASHXXX,2020,7,C4N,1
Ashmeadiella,MEASHXXX,2020,7,C5N,2
Ashmeadiella,MEASHXXX,2020,7,G1N,1
Ashmeadiella,MEASHXXX,2020,7,G1S,3
Ashmeadiella,MEASHXXX,2020,7,G3S,1
Ashmeadiella,MEASHXXX,2020,7,G4S,1
Ashmeadiella,MEASHXXX,2020,7,G5N,1
Ashmeadiella,MEASHXXX,2020,7,G5S,3
Ashmeadiella,MEASHXXX,2020,8,B1S,2
Ashmeadiella,MEASHXXX,2020,8,B2S,1
Ashmeadiella,MEASHXXX,2020,8,B5S,1
Ashmeadiella,MEASHXXX,2020,8,C1N,1
Ashmeadiella,MEASHXXX,2020,8,C2S,1
Ashmeadiella,MEASHXXX,2020,8,C3N,1
Ashmeadiella,MEASHXXX,2020,8,C5S,1
Ashmeadiella,MEASHXXX,2020,8,G1N,1
Ashmeadiella,MEASHXXX,2020,8,G1S,1
Ashmeadiella,MEASHXXX,2020,8,G5S,2
Ashmeadiella,MEASHXXX,2020,9,B2S,2
Ashmeadiella,MEASHXXX,2020,10,G1N,1
Ashmeadiella,MEASHXXX,2021,4,C5N,1
Ashmeadiella,MEASHXXX,2021,5,B1N,2
Ashmeadiella,MEASHXXX,2021,5,G4N,1
Ashmeadiella,MEASHXXX,2021,6,B1N,1
Ashmeadiella,MEASHXXX,2021,6,G4N,1
Ashmeadiella,MEASHXXX,2021,6,G5S,1
Ashmeadiella,MEASHXXX,2021,7,C1N,1
Ashmeadiella,MEASHXXX,2021,7,C2N,2
Ashmeadiella,MEASHXXX,2021,7,C4N,2
Ashmeadiella,MEASHXXX,2021,7,C5N,2
Ashmeadiella,MEASHXXX,2021,7,G1S,1
Ashmeadiella,MEASHXXX,2021,7,G2N,1
Ashmeadiella,MEASHXXX,2021,7,G4S,2
Ashmeadiella,MEASHXXX,2021,8,C1N,1
Ashmeadiella,MEASHXXX,2021,9,B3N,1
Ashmeadiella,MEASHXXX,2021,9,B4S,1
Ashmeadiella,MEASHXXX,2021,9,C2N,1
Ashmeadiella,MEASHXXX,2021,9,G1N,1
Ashmeadiella,MEASHXXX,2021,9,G1S,2
Ashmeadiella,MEASHXXX,2021,9,G4S,1
Ashmeadiella,MEASHXXX,2021,9,G5N,1
Bombus,APBOMXXX,2020,4,B4N,1
Bombus,APBOMXXX,2020,4,G1S,1
Calliopsis,ANCALXXX,2020,4,C1S,1
Calliopsis,ANCALXXX,2020,9,C2S,1
Calliopsis,ANCALXXX,2020,10,C3N,1
Calliopsis,ANCALXXX,2020,10,G3S,1
Calliopsis,ANCALXXX,2021,9,B1N,1
